ID,Obscure ID,Entity,Type,Account Subdomain,dashboard_url
49667,9nG3MDnm,Mirai Capital Global Fund,Fund,miraicapital,https://miraicapital.decilehub.com/firm_admin/entities/9nG3MDnm/dashboard
49666,0nd7ZENA,Sifr Capital Fund,Fund,sifrcapital,https://sifrcapital.decilehub.com/firm_admin/entities/0nd7ZENA/dashboard
49633,6N0ADGny,Growth Afrique Fund,Fund,growthafrique,https://growthafrique.decilehub.com/firm_admin/entities/6N0ADGny/dashboard
49600,7Na5mvND,Dhow Fund,Fund,dhow,https://dhow.decilehub.com/firm_admin/entities/7Na5mvND/dashboard
49567,9nG3ypnm,N6 Capital Fund,Fund,n6capital,https://n6capital.decilehub.com/firm_admin/entities/9nG3ypnm/dashboard
49534,9KJ11B8Z,127 Ventures Fund,Fund,127ventures,https://127ventures.decilehub.com/firm_admin/entities/9KJ11B8Z/dashboard
49501,Rne22O8q,Timefull Fund,Fund,timefull,https://timefull.decilehub.com/firm_admin/entities/Rne22O8q/dashboard
49468,3nz5RGNm,"Embedding Opportunity Funds, LLC",General Partnership,embedding,https://embedding.decilehub.com/firm_admin/entities/3nz5RGNm/dashboard
49435,WnwoMMn4,MENA Impact Ventures Fund,Fund,menaimpactventures,https://menaimpactventures.decilehub.com/firm_admin/entities/WnwoMMn4/dashboard
49402,LnpZRkK4,Rein Partners Fund,Fund,reinpartners,https://reinpartners.decilehub.com/firm_admin/entities/LnpZRkK4/dashboard
49369,kKkaYknj,INC Ventures Fund,Fund,incventures,https://incventures.decilehub.com/firm_admin/entities/kKkaYknj/dashboard
49336,3N9adpNJ,Echel Ventures Fund,Fund,echelventures,https://echelventures.decilehub.com/firm_admin/entities/3N9adpNJ/dashboard
49303,zKqvGBN5,TRIREC Fund,Fund,trirec,https://trirec.decilehub.com/firm_admin/entities/zKqvGBN5/dashboard
49237,g8bA9rnx,Alma VC Fund,Fund,almavc,https://almavc.decilehub.com/firm_admin/entities/g8bA9rnx/dashboard
49171,3nOdBV86,Meridian Fund,Fund,meridian,https://meridian.decilehub.com/firm_admin/entities/3nOdBV86/dashboard
49105,L8ZWg7KO,"Geek Ventures Y SPV, a series of Decile SPV LLC",Fund,geek,https://geek.decilehub.com/firm_admin/entities/L8ZWg7KO/dashboard
49072,PKL2MLn2,"Geek Ventures Scl SPV, a series of Decile SPV LLC",Fund,geek,https://geek.decilehub.com/firm_admin/entities/PKL2MLn2/dashboard
49039,08xEzZKW,Afternoon Letter Kwetu Inc. Fund,Fund,afternoonletterkwetuvc,https://afternoonletterkwetuvc.decilehub.com/firm_admin/entities/08xEzZKW/dashboard
49007,WN6WvOn3,Sugie Capital Fund,Fund,sugiecapital,https://sugiecapital.decilehub.com/firm_admin/entities/WN6WvOn3/dashboard
49006,yKvP7rnx,Sugie Ventures Fund,Fund,sugieventures,https://sugieventures.decilehub.com/firm_admin/entities/yKvP7rnx/dashboard
48973,GNXv978g,Pontis Ventures Fund,Fund,pontisventures,https://pontisventures.decilehub.com/firm_admin/entities/GNXv978g/dashboard
48940,EK4g4484,Africa Energy Ventures Fund,Fund,africaenergyventures,https://africaenergyventures.decilehub.com/firm_admin/entities/EK4g4484/dashboard
48907,WN6WByn3,"Mount Lumina Fund I, a Series of Embedding Opportunity Funds, LLC",Fund,embedding,https://embedding.decilehub.com/firm_admin/entities/WN6WByn3/dashboard
48874,y8mpRdnW,FoodRevolution Fund,Fund,foodrevolution,https://foodrevolution.decilehub.com/firm_admin/entities/y8mpRdnW/dashboard
